ID Type,ID No,Salutation,Name,Individual Indicator,Add 1,Postal Code,Email Address,Tel No,Type of Payment,Type of Donation,Date of Donation,Cheque No,Amount,Prefix,Receipt Serial No,Date of Printing,Print Indicator,Void,Converted,Project,Remarks,Name of Fund,Gender,Birthday
NRIC,A16,Mr,Janita Metzgar  ,Yes,366 Gleichner Road Apt. 541,161356,patrichilpert@yahoo.com,80715792,Cash,Outright Cash,2/26/2014,72155,2188,DSNLC,3464,12/12/2014,P,No,No,FB GIT Hackathon,Sharing my wealth,DS TAX,F,3/15/2009
FIN,A17,Mr,Marcelina Crisci  ,Yes,0170 Stephani Street,106816,leafyjones@raynor.info,76387632,Paypal,Outright Cash,1/26/2016,24560,9875,DSRTC,9120,12/12/2016,P,Yes,Yes,Message of Hope,Birthday,DS NLC,M,2/6/1988
FIN,A18,Mrs,Deanna Luedtke  ,Yes,245 Bergnaum Drive Suite 366,819322,jenniwilliamson@yahoo.com,76001952,Cheque,Outright Cash,12/6/2014,76420,3749,DSNLC,8372,12/12/2014,X,Yes,Yes,SG Hackathon,Birthday,DS NLC,M,2/23/2009
FIN,A19,Ms,Zoraida Fred  ,Yes,050 Strosin Street,483118,monahanvere@hotmail.com,81729672,Cash,Outright Cash,12/20/2012,52040,7250,DSRTC,6916,12/12/2012,S,No,No,FB GIT Hackathon,Birthday,DS TAX,F,5/8/2004
NRIC,A20,Mr,Jessi Ivery  ,No,1999 Jakubowski Manor,255490,qpollich@haag-lemke.com,83668104,Paypal,Credit,2/12/2013,37910,7967,DSNLC,3368,12/12/2013,A,No,No,FB GIT Hackathon,Anniversary,DS TAX,M,9/2/2004
NRIC,A21,Ms,Debora Cordes  ,Yes,9088 Leonora Oval Suite 318,855484,elijah64@yahoo.com,72978392,Cheque,Credit,3/15/2014,11935,8192,DSRTC,9468,12/12/2014,P,Yes,Yes,Message of Hope,Birthday,DS TAX,M,10/7/2001
NRIC,A22,Ms,Conchita Thrift  ,Yes,8503 Nienow Parkway Suite 693,386476,linnlangosh@hotmail.com,84379520,Cash,Outright Cash,2/21/2012,87830,2893,DSNLC,4824,12/12/2012,P,No,No,SG Hackathon,Anniversary,DS NLC,M,5/18/2004
NRIC,A23,Mr,Eugene Peraza  ,Yes,04570 Melony Pike Suite 165,568210,fparker@yahoo.com,91894240,Paypal,Outright Cash,11/28/2013,49330,782,DSRTC,7384,12/12/2013,P,Yes,Yes,FB GIT Hackathon,Donation,DS NLC,F,7/2/1985
NRIC,A24,Mrs,Deana Minks  ,No,547 Streich Corner,248914,qcormier@block.com,86066888,Cheque,Outright Cash,12/9/2012,78550,8568,DSNLC,5376,12/12/2012,S,No,No,FB GIT Hackathon,Gift,DS TAX,F,7/25/1994
FIN,A25,Dr,Arron Tavares  ,Yes,7334 Besse Flats Suite 908,338818,westkian@altenwerth-weissnat.com,83511128,Cash,Outright Cash,12/6/2015,59100,2525,DSRTC,2380,12/12/2015,A,No,No,FB GIT Hackathon,Want to do good to society,DS TAX,M,8/12/1991
FIN,A26,Ms,Mindy Mahr  ,Yes,6366 Erik Grove Apt. 772,540004,jdeckow@schimmel.com,77628632,Paypal,Credit,8/19/2011,80865,9787,DSNLC,7080,12/12/2011,A,Yes,Yes,Message of Hope,Sharing my wealth,DS TAX,F,5/14/1994
FIN,A27,Mr,Ashely Lemond  ,Yes,6896 Sylvan Parks Suite 906,706702,muriel58@gmail.com,88321888,Cheque,Credit,3/24/2013,51830,8952,DSRTC,6496,12/12/2013,X,Yes,Yes,SG Hackathon,Birthday,DS NLC,M,9/19/1989
NRIC,A28,Mr,Marianne Braunstein  ,No,77893 Tracy Shoal Suite 704,762022,andersonvollie@hotmail.com,97832304,Cash,Outright Cash,8/15/2014,82560,5132,DSNLC,7312,12/12/2014,X,No,No,FB GIT Hackathon,Birthday,DS NLC,M,12/7/1997
NRIC,A29,Mrs,Lucina Winget  ,Yes,5346 Seth Crest Suite 527,971758,kjohnston@gmail.com,87254320,Paypal,Outright Cash,5/30/2011,78250,2001,DSRTC,4896,12/12/2011,X,No,No,FB GIT Hackathon,Birthday,DS TAX,M,1/21/1991
FIN,A30,Ms,Cassy Mclane  ,Yes,198 Levy Fall Apt. 138,553174,mckenzierueben@boyer.net,62118624,Cheque,Outright Cash,4/25/2013,37290,8043,DSNLC,5372,12/12/2013,S,Yes,Yes,FB GIT Hackathon,Anniversary,DS TAX,F,11/1/1991
FIN,A31,Mr,Danna Arteaga  ,Yes,998 Koepp Brook,522454,matteoconnelly@kunde.org,79955912,Cash,Outright Cash,4/26/2016,63835,2887,DSRTC,4360,12/12/2016,S,Yes,Yes,FB GIT Hackathon,Birthday,DS TAX,M,11/29/1984
FIN,A32,Ms,Jacque Shifflett  ,No,5971 Satterfield Ramp,666142,bergstromcharlee@hotmail.com,96992904,Paypal,Credit,12/13/2015,10540,6842,DSNLC,1052,12/12/2015,S,No,No,Message of Hope,Anniversary,DS NLC,M,5/18/2005
NRIC,A33,Mr,Leslee Abrahamson  ,Yes,0546 Thompson Vista Suite 774,887236,scarlettboyer@koss-reynolds.info,94749768,Cheque,Credit,3/31/2012,32485,4177,DSRTC,7272,12/12/2012,P,No,No,SG Hackathon,Donation,DS NLC,F,2/2/1991
NRIC,A34,Mrs,Deann Whorton  ,Yes,3733 Mohammad Throughway Apt. 644,639394,williamsonnicholaus@hotmail.com,97588448,Cash,Outright Cash,1/17/2013,45745,2458,DSNLC,1256,12/12/2013,P,Yes,Yes,FB GIT Hackathon,Gift,DS TAX,M,10/23/1982
NRIC,A35,Dr,Raisa Winchenbach  ,Yes,4216 Leonor Port,934150,boydhowell@hotmail.com,63904080,Paypal,Outright Cash,4/10/2013,24480,9466,DSRTC,6608,12/12/2013,X,No,No,FB GIT Hackathon,Want to do good to society,DS TAX,M,2/19/2001
FIN,A36,Ms,Tabatha Hazan  ,Yes,98159 Sawayn Mount Apt. 659,295564,nakiamonahan@grant.biz,75689616,Cheque,Outright Cash,9/21/2013,91495,7699,DSNLC,9688,12/12/2013,S,Yes,Yes,FB GIT Hackathon,Sharing my wealth,DS TAX,F,6/12/2003
FIN,A37,Mr,Lavone Cumbo  ,No,074 Bartoletti Points Suite 666,391756,louiecorwin@yahoo.com,96707504,Cash,Outright Cash,10/13/2015,90135,6886,DSRTC,6068,12/12/2015,A,No,No,Message of Hope,Birthday,DS NLC,M,6/29/1996
FIN,A38,Ms,Camila Eis  ,Yes,91869 Easter Street Suite 000,471190,marissayundt@gmail.com,92959128,Paypal,Credit,2/26/2012,19275,9091,DSNLC,8824,12/12/2012,P,No,No,SG Hackathon,Birthday,DS NLC,F,5/5/1987
FIN,A39,Mr,Chere Branam  ,Yes,19163 Merle Wells,154996,fparisian@grant.biz,86378024,Cheque,Credit,5/9/2014,39715,6273,DSRTC,3204,12/12/2014,P,Yes,Yes,FB GIT Hackathon,Birthday,DS TAX,M,7/11/1995
NRIC,A40,Mrs,Lasonya Frier  ,Yes,957 Florine Crest Suite 389,672772,umueller@hotmail.com,70742960,Cash,Outright Cash,7/22/2013,11605,9384,DSNLC,6276,12/12/2013,P,Yes,Yes,FB GIT Hackathon,Anniversary,DS TAX,F,8/29/1991
NRIC,A41,Dr,Jadwiga Romer  ,No,7007 Ebert Road,907198,ayden22@schamberger-oconner.org,95025304,Paypal,Outright Cash,11/26/2011,31515,9931,DSRTC,7360,12/12/2011,S,No,No,FB GIT Hackathon,Birthday,DS TAX,M,4/18/1994
FIN,A42,Ms,Rosalind Lowenthal  ,Yes,18504 Schoen Grove,558304,strosinmirna@armstrong.com,82104136,Cheque,Outright Cash,1/18/2015,36785,2614,DSNLC,2748,12/12/2015,A,No,No,Message of Hope,Anniversary,DS NLC,M,4/17/1984
FIN,A43,Mr,Catharine Lewin  ,Yes,195 Darrion Falls Apt. 155,625096,koelpinjarrell@yahoo.com,78658664,Cash,Outright Cash,8/17/2015,91655,1050,DSRTC,3656,12/12/2015,A,Yes,Yes,SG Hackathon,Donation,DS NLC,F,1/6/2002
NRIC,A44,Mr,Yee Gatz  ,Yes,51691 Torp Spur,296794,lettarau@hotmail.com,61366744,Paypal,Credit,2/15/2013,90270,517,DSNLC,1588,12/12/2013,X,Yes,Yes,FB GIT Hackathon,Gift,DS TAX,M,3/30/1989
NRIC,A45,Mrs,Moises Majeed  ,No,3540 Lelah Terrace Suite 451,691240,vandervortmaurine@gmail.com,95965280,Cheque,Credit,11/6/2012,14670,6245,DSRTC,5176,12/12/2012,X,No,No,FB GIT Hackathon,Want to do good to society,DS TAX,F,2/27/1989
FIN,A46,Ms,Teresia Stlouis  ,Yes,536 Brekke Cape Apt. 615,924826,staffordjohns@streich-zemlak.org,94099176,Cash,Outright Cash,6/17/2013,16150,3524,DSNLC,2656,12/12/2013,X,No,No,FB GIT Hackathon,Sharing my wealth,DS TAX,F,4/6/1998
FIN,A47,Mr,Karma Morelli  ,Yes,480 Huel Plain Suite 269,776986,nweissnat@jones-luettgen.com,89267576,Paypal,Outright Cash,3/22/2016,80725,3069,DSRTC,7864,12/12/2016,S,Yes,Yes,Message of Hope,Birthday,DS NLC,F,3/23/1999
NRIC,A48,Ms,Neva Vanwingerden  ,Yes,80714 Manilla Harbors Suite 088,473320,izathompson@moen.org,64070528,Cheque,Outright Cash,3/16/2014,13375,8156,DSNLC,2456,12/12/2014,S,No,No,SG Hackathon,Birthday,DS NLC,F,2/3/1988
FIN,A49,Mr,Hannelore Eber  ,No,611 Delois Shore,797386,carleenkrajcik@yahoo.com,85253464,Cash,Outright Cash,3/30/2016,83380,1403,DSRTC,6296,12/12/2016,S,Yes,Yes,FB GIT Hackathon,Birthday,DS TAX,F,7/11/2010
